date_code,archive_url,file_name
201401,,
201402,http://web.archive.org/web/20140209144921/http://store.steampowered.com/hwsurvey?platform=linux,20140209144921.txt
201403,,
201404,http://web.archive.org/web/20140420144525/http://store.steampowered.com:80/hwsurvey/?platform=linux,20140420144525.txt
201405,,
201406,,
201407,http://web.archive.org/web/20140707015627/http://store.steampowered.com/hwsurvey?platform=linux,20140707015627.txt
201408,http://web.archive.org/web/20140809190642/http://store.steampowered.com/hwsurvey/?platform=linux,20140809190642.txt
201409,http://web.archive.org/web/20140906020450/http://store.steampowered.com/hwsurvey?platform=linux,20140906020450.txt
201410,http://web.archive.org/web/20141006043034/http://store.steampowered.com:80/hwsurvey/?platform=linux,20141006043034.txt
201411,http://web.archive.org/web/20141110213008/http://store.steampowered.com:80/hwsurvey/?platform=linux,20141110213008.txt
201412,http://web.archive.org/web/20141217132516/http://store.steampowered.com:80/hwsurvey/?platform=linux,20141217132516.txt
201501,http://web.archive.org/web/20150121073937/http://store.steampowered.com:80/hwsurvey/?platform=linux,20150121073937.txt
201502,http://web.archive.org/web/20150216094624/http://store.steampowered.com:80/hwsurvey?platform=linux,20150216094624.txt
201503,http://web.archive.org/web/20150316150705/http://store.steampowered.com/hwsurvey?platform=linux,20150316150705.txt
201504,http://web.archive.org/web/20150410033128/http://store.steampowered.com:80/hwsurvey/?platform=linux,20150410033128.txt
201505,http://web.archive.org/web/20150510113307/http://store.steampowered.com:80/hwsurvey/?platform=linux,20150510113307.txt
201506,http://web.archive.org/web/20150611003702/http://store.steampowered.com:80/hwsurvey/?platform=linux,20150611003702.txt
201507,http://web.archive.org/web/20150711091602/http://store.steampowered.com:80/hwsurvey/?platform=linux,20150711091602.txt
201508,,
201509,http://web.archive.org/web/20150902204745/http://store.steampowered.com/hwsurvey?platform=linux,20150902204745.txt
201510,,
201511,,
201512,http://web.archive.org/web/20151212103730/http://store.steampowered.com/hwsurvey/?platform=linux,20151212103730.txt
201601,http://web.archive.org/web/20160126132527/http://store.steampowered.com:80/hwsurvey?platform=linux,20160126132527.txt
201602,http://web.archive.org/web/20160228060055/http://store.steampowered.com:80/hwsurvey?platform=linux,20160228060055.txt
201603,http://web.archive.org/web/20160316184702/http://store.steampowered.com/hwsurvey/?platform=linux,20160316184702.txt
201604,,
201605,,
201606,,
201607,http://web.archive.org/web/20160708185801/http://store.steampowered.com:80/hwsurvey/?platform=linux,20160708185801.txt
201608,http://web.archive.org/web/20160810121458/http://store.steampowered.com:80/hwsurvey/?platform=linux,20160810121458.txt
201609,http://web.archive.org/web/20160911134720/http://store.steampowered.com:80/hwsurvey/?platform=linux,20160911134720.txt
201610,http://web.archive.org/web/20161014162829/http://store.steampowered.com:80/hwsurvey/?platform=linux,20161014162829.txt
201611,http://web.archive.org/web/20161119133336/http://store.steampowered.com:80/hwsurvey?platform=linux,20161119133336.txt
201612,http://web.archive.org/web/20161208115554/http://store.steampowered.com:80/hwsurvey?platform=linux,20161208115554.txt
201701,http://web.archive.org/web/20170119102750/http://store.steampowered.com/hwsurvey?platform=linux,20170119102750.txt
201702,http://web.archive.org/web/20170211070852/http://store.steampowered.com/hwsurvey?platform=linux,20170211070852.txt
201703,,
201704,,
201705,http://web.archive.org/web/20170503205915/http://store.steampowered.com/hwsurvey/?platform=linux,20170503205915.txt
201706,http://web.archive.org/web/20170616203304/http://store.steampowered.com/hwsurvey?platform=linux,20170616203304.txt
201707,http://web.archive.org/web/20170708175700/http://store.steampowered.com:80/hwsurvey?platform=linux,20170708175700.txt
201708,http://web.archive.org/web/20170810042043/http://store.steampowered.com:80/hwsurvey/?platform=linux,20170810042043.txt
201709,http://web.archive.org/web/20170909143925/http://store.steampowered.com:80/hwsurvey/?platform=linux,20170909143925.txt
201710,http://web.archive.org/web/20171010092058/http://store.steampowered.com:80/hwsurvey/?platform=linux,20171010092058.txt
201711,http://web.archive.org/web/20171121214008/http://store.steampowered.com/hwsurvey/?platform=linux,20171121214008.txt
201712,http://web.archive.org/web/20171216111207/http://store.steampowered.com:80/hwsurvey?platform=linux,20171216111207.txt
201801,http://web.archive.org/web/20180126162842/http://store.steampowered.com/hwsurvey/?platform=linux,20180126162842.txt
201802,http://web.archive.org/web/20180215143007/http://store.steampowered.com/hwsurvey/?platform=linux,20180215143007.txt
201803,http://web.archive.org/web/20180315133008/http://store.steampowered.com/hwsurvey/?platform=linux,20180315133008.txt
201804,http://web.archive.org/web/20180415133003/http://store.steampowered.com/hwsurvey/?platform=linux,20180415133003.txt
201805,http://web.archive.org/web/20180515133018/https://store.steampowered.com/hwsurvey/?platform=linux,20180515133018.txt
201806,http://web.archive.org/web/20180612133026/https://store.steampowered.com/hwsurvey/?platform=linux,20180612133026.txt
201807,http://web.archive.org/web/20180711111621/https://store.steampowered.com/hwsurvey?platform=linux,20180711111621.txt
201808,,
201809,http://web.archive.org/web/20180910133009/https://store.steampowered.com/hwsurvey/?platform=linux,20180910133009.txt
201810,http://web.archive.org/web/20181015133009/https://store.steampowered.com/hwsurvey/?platform=linux,20181015133009.txt
201811,http://web.archive.org/web/20181115143008/https://store.steampowered.com/hwsurvey/?platform=linux,20181115143008.txt
201812,http://web.archive.org/web/20181215143008/https://store.steampowered.com/hwsurvey/?platform=linux,20181215143008.txt
201901,http://web.archive.org/web/20190115143022/https://store.steampowered.com/hwsurvey/?platform=linux,20190115143022.txt
201902,http://web.archive.org/web/20190215143008/https://store.steampowered.com/hwsurvey/?platform=linux,20190215143008.txt
201903,http://web.archive.org/web/20190305143007/https://store.steampowered.com/hwsurvey/?platform=linux,20190305143007.txt
201904,http://web.archive.org/web/20190415123712/https://store.steampowered.com/hwsurvey/?platform=linux,20190415123712.txt
201905,http://web.archive.org/web/20190509123715/https://store.steampowered.com/hwsurvey/?platform=linux,20190509123715.txt
201906,http://web.archive.org/web/20190626053749/https://store.steampowered.com/hwsurvey/?platform=linux,20190626053749.txt
201907,http://web.archive.org/web/20190706000636/https://store.steampowered.com/hwsurvey?platform=linux,20190706000636.txt
201908,http://web.archive.org/web/20190809120823/https://store.steampowered.com/hwsurvey/?platform=linux,20190809120823.txt
201909,http://web.archive.org/web/20190923162208/https://store.steampowered.com/hwsurvey/?platform=linux,20190923162208.txt
201910,http://web.archive.org/web/20191003185758/https://store.steampowered.com/hwsurvey/?platform=linux,20191003185758.txt
201911,http://web.archive.org/web/20191115221215/https://store.steampowered.com/hwsurvey/?platform=linux,20191115221215.txt
201912,http://web.archive.org/web/20191212042258/https://store.steampowered.com/hwsurvey/?platform=linux,20191212042258.txt
202001,http://web.archive.org/web/20200110014458/https://store.steampowered.com/hwsurvey/?platform=linux,20200110014458.txt
202002,,
202003,http://web.archive.org/web/20200310155135/https://store.steampowered.com/hwsurvey?platform=linux,20200310155135.txt
202004,http://web.archive.org/web/20200426122030/https://store.steampowered.com/hwsurvey?platform=linux,20200426122030.txt
202005,http://web.archive.org/web/20200510140321/https://store.steampowered.com/hwsurvey?platform=linux,20200510140321.txt
202006,http://web.archive.org/web/20200602200550/https://store.steampowered.com/hwsurvey?platform=linux,20200602200550.txt
202007,http://web.archive.org/web/20200727235654/https://store.steampowered.com/hwsurvey/?platform=linux,20200727235654.txt
202008,,
202009,http://web.archive.org/web/20200903091749/https://store.steampowered.com/hwsurvey?platform=linux,20200903091749.txt
202010,http://web.archive.org/web/20201027214535/https://store.steampowered.com/hwsurvey/?platform=linux,20201027214535.txt
202011,http://web.archive.org/web/20201112025127/https://store.steampowered.com/hwsurvey/?platform=linux,20201112025127.txt
202012,,
202101,,
202102,http://web.archive.org/web/20210201215754/https://store.steampowered.com/hwsurvey/?platform=linux,20210201215754.txt
202103,,
202104,,
202105,http://web.archive.org/web/20210515024857/https://store.steampowered.com/hwsurvey?platform=linux,20210515024857.txt
202106,http://web.archive.org/web/20210628150715/https://store.steampowered.com/hwsurvey?platform=linux,20210628150715.txt
202107,http://web.archive.org/web/20210703153200/https://store.steampowered.com/hwsurvey/?platform=linux,20210703153200.txt
202108,http://web.archive.org/web/20210815113951/https://store.steampowered.com/hwsurvey?platform=linux,20210815113951.txt
202109,http://web.archive.org/web/20210904152257/https://store.steampowered.com/hwsurvey/?platform=linux,20210904152257.txt
202110,http://web.archive.org/web/20211009092246/https://store.steampowered.com/hwsurvey?platform=linux,20211009092246.txt
202111,,
202112,http://web.archive.org/web/20211212120156/https://store.steampowered.com/hwsurvey?platform=linux,20211212120156.txt
202201,,
202202,,
202203,http://web.archive.org/web/20220304010612/https://store.steampowered.com/hwsurvey/?platform=linux,20220304010612.txt
202204,http://web.archive.org/web/20220416060928/https://store.steampowered.com/hwsurvey/?platform=linux,20220416060928.txt
202205,http://web.archive.org/web/20220529084004/https://store.steampowered.com/hwsurvey?platform=linux,20220529084004.txt
202206,http://web.archive.org/web/20220603225904/https://store.steampowered.com/hwsurvey?platform=linux,20220603225904.txt
202207,,
202208,http://web.archive.org/web/20220820025224/https://store.steampowered.com/hwsurvey/?platform=linux,20220820025224.txt
202209,http://web.archive.org/web/20220912163615/https://store.steampowered.com/hwsurvey/?platform=linux,20220912163615.txt
202210,http://web.archive.org/web/20221011013740/https://store.steampowered.com/hwsurvey?platform=linux,20221011013740.txt
202211,http://web.archive.org/web/20221104142931/https://store.steampowered.com/hwsurvey/?platform=linux,20221104142931.txt
202212,,
202301,http://web.archive.org/web/20230103095807/https://store.steampowered.com/hwsurvey/?platform=linux,20230103095807.txt
202302,,
202303,http://web.archive.org/web/20230303223251/https://store.steampowered.com/hwsurvey/?platform=linux,20230303223251.txt
202304,http://web.archive.org/web/20230416190225/https://store.steampowered.com/hwsurvey?platform=linux,20230416190225.txt
202305,http://web.archive.org/web/20230516183223/https://store.steampowered.com/hwsurvey?platform=linux,20230516183223.txt
202306,http://web.archive.org/web/20230625144436/https://store.steampowered.com/hwsurvey/?platform=linux,20230625144436.txt
202307,,
202308,http://web.archive.org/web/20230806190059/https://store.steampowered.com/hwsurvey/?platform=linux,20230806190059.txt
202309,http://web.archive.org/web/20230921204244/https://store.steampowered.com/hwsurvey/?platform=linux,20230921204244.txt
202310,http://web.archive.org/web/20231016105251/https://store.steampowered.com/hwsurvey/?platform=linux,20231016105251.txt
202311,http://web.archive.org/web/20231126193912/https://store.steampowered.com/hwsurvey?platform=linux,20231126193912.txt
202312,http://web.archive.org/web/20231207072130/https://store.steampowered.com/hwsurvey/?platform=linux,20231207072130.txt
202401,http://web.archive.org/web/20240122064053/https://store.steampowered.com/hwsurvey/?platform=linux,20240122064053.txt
202402,http://web.archive.org/web/20240206150447/https://store.steampowered.com/hwsurvey/?platform=linux,20240206150447.txt
202403,http://web.archive.org/web/20240317203535/https://store.steampowered.com/hwsurvey?platform=linux,20240317203535.txt
202404,http://web.archive.org/web/20240402011902/https://store.steampowered.com/hwsurvey/?platform=linux,20240402011902.txt
202405,http://web.archive.org/web/20240513191448/https://store.steampowered.com/hwsurvey/?platform=linux,20240513191448.txt
202406,,
202407,http://web.archive.org/web/20240713100702/https://store.steampowered.com/hwsurvey/?platform=linux,20240713100702.txt
202408,http://web.archive.org/web/20240808094339/https://store.steampowered.com/hwsurvey?platform=linux,20240808094339.txt
202409,http://web.archive.org/web/20240919203457/https://store.steampowered.com/hwsurvey?platform=linux,20240919203457.txt
202410,http://web.archive.org/web/20241002130340/https://store.steampowered.com/hwsurvey/?platform=linux,20241002130340.txt
202411,http://web.archive.org/web/20241126182159/https://store.steampowered.com/hwsurvey?platform=linux,20241126182159.txt
202412,http://web.archive.org/web/20241203183416/https://store.steampowered.com/hwsurvey?platform=linux,20241203183416.txt
